The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MD                     |          -0.64          -0.18          -0.18 |          -0.48          -0.01          -0.02 |          -0.22           0.25          -0.00 |           0.26           0.73           0.25 |          -0.49          -0.02          -0.03 |          -0.09           0.38           0.01
MAD                    |           0.64           0.18           0.18 |           0.48           0.03           0.02 |           0.22           0.25           0.00 |           0.26           0.73           0.26 |           0.50           0.04           0.04 |           0.10           0.38           0.01
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2-Methylpropene        |          -0.54          -0.13          -0.13 |          -0.40           0.01           0.00 |          -0.17           0.25          -0.00 |           0.24           0.67           0.24 |          -0.42          -0.00          -0.00 |           0.00           0.42           0.00
2-Vinylpyridine        |          -0.43          -0.08          -0.08 |          -0.32           0.03          -0.00 |          -0.14           0.21          -0.00 |           0.25           0.55           0.25 |          -0.35           0.01           0.00 |           0.03           0.38           0.03
Fulvene                |          -0.49          -0.10          -0.10 |          -0.36           0.04           0.00 |          -0.15           0.25           0.00 |           0.22           0.61           0.22 |          -0.38           0.02           0.00 |           0.03           0.43           0.03
H2                     |          -0.57           0.16           0.00 |          -0.48           0.25           0.00 |          -0.29           0.43           0.00 |           0.12           0.84           0.12 |           0.67           1.08           0.67 |           0.90           1.31           0.90
Isoprene               |          -0.49          -0.09          -0.09 |          -0.36           0.04           0.00 |          -0.16           0.24          -0.00 |           0.21           0.61           0.21 |          -0.38           0.01           0.00 |           0.01           0.41           0.01
Pyridine               |          -0.55          -0.10          -0.10 |          -0.39           0.02           0.00 |          -0.14           0.26           0.00 |           0.30           0.71           0.30 |          -0.40           0.01           0.00 |           0.00           0.42           0.00
Pyrrole                |          -0.53          -0.11          -0.11 |          -0.39           0.03          -0.00 |          -0.18           0.24           0.00 |           0.19           0.61           0.19 |          -0.41           0.01           0.00 |           0.00           0.42           0.00
