The optimal dielectric constants for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
-------------------------------------------------------------------------------------------------------------------------------
                     | blyp           | b3lyp          | bhhlyp         | hf             | hse06          | lc-wpbe       
-------------------------------------------------------------------------------------------------------------------------------
Mean                 |          79.48 |          52.69 |           2.47 |           1.01 |          67.88 |           1.97
Standard Dev         |           6.23 |          29.20 |           6.48 |           0.03 |          22.18 |           6.74
-------------------------------------------------------------------------------------------------------------------------------
2-Methylpropene      |          80.00 |          22.13 |           1.73 |           1.01 |          80.00 |           1.01
2-Vinylpyridine      |          80.00 |           9.49 |           1.69 |           1.01 |          33.05 |           1.01
Fulvene              |          80.00 |           9.48 |           1.61 |           1.01 |          19.98 |           1.01
H2                   |           4.42 |           2.91 |           1.68 |           1.01 |           1.01 |           1.01
Isoprene             |          80.00 |          10.13 |           1.68 |           1.01 |          22.30 |           1.01
Pyridine             |          80.00 |          13.62 |           1.55 |           1.01 |          21.59 |           1.01
Pyrrole              |          80.00 |          11.29 |           1.73 |           1.01 |          25.48 |           1.01
Styrene              |          80.00 |           8.93 |           1.66 |           1.01 |          28.12 |           1.01
Si2H6                |          80.00 |          19.29 |           1.88 |           1.01 |          80.00 |           1.01
1_3-Butadiene        |          80.00 |          10.94 |           1.74 |           1.01 |          24.70 |           1.01
Vinyl_acetate        |          80.00 |          18.16 |           1.74 |           1.01 |          68.56 |           1.03
Furan                |          80.00 |          14.38 |           1.78 |           1.01 |          47.32 |           1.03
Methylacrylonitrile  |          80.00 |          16.51 |           1.75 |           1.01 |          79.56 |           1.03
Cyclobutene          |          80.00 |          80.00 |           1.84 |           1.01 |          80.00 |           1.04
NC3H9                |          80.00 |          22.97 |           1.45 |           1.01 |          69.37 |           1.04
H2CCCl2              |          80.00 |          80.00 |           1.93 |           1.01 |          80.00 |           1.05
HCCCCCN              |          80.00 |          20.33 |           1.80 |           1.01 |          80.00 |           1.06
CS                   |          80.00 |          10.28 |           1.54 |           1.01 |           9.13 |           1.06
1_1-Dicyanoethylene  |          80.00 |          18.50 |           1.81 |           1.01 |          80.00 |           1.06
CH2CCH2              |          80.00 |          15.54 |           1.71 |           1.01 |          26.07 |           1.06
CH3NC                |          80.00 |          10.51 |           1.53 |           1.01 |           9.19 |           1.06
Cl2CCF2              |          80.00 |          80.00 |           1.98 |           1.01 |          80.00 |           1.07
Methoxyethene        |          80.00 |          16.81 |           1.73 |           1.01 |          51.11 |           1.07
Propene              |          80.00 |          18.04 |           1.79 |           1.01 |          36.02 |           1.07
Thiophene            |          80.00 |           9.76 |           1.97 |           1.01 |          19.91 |           1.07
CH3CCCH3             |          80.00 |          35.18 |           1.77 |           1.01 |          80.00 |           1.07
Isobutane            |          80.00 |          80.00 |           1.87 |           1.01 |          80.00 |           1.08
Thiirane             |          80.00 |          13.71 |           1.72 |           1.01 |          20.73 |           1.08
2-Propen-1-ol        |          80.00 |          15.61 |           1.77 |           1.01 |          50.28 |           1.08
Butenone             |          80.00 |          21.75 |           1.26 |           1.01 |          50.80 |           1.08
CH3SOCH3             |          80.00 |          16.09 |           1.45 |           1.01 |          52.52 |           1.08
CH3CCCN              |          80.00 |          33.79 |           1.80 |           1.01 |          80.00 |           1.09
CS2                  |          80.00 |          12.87 |           1.80 |           1.01 |          32.09 |           1.10
SiH3                 |          80.00 |           8.35 |           1.95 |           1.01 |          10.68 |           1.10
Acrylonitrile        |          80.00 |          21.57 |           1.82 |           1.01 |          80.00 |           1.10
CCl4                 |          80.00 |          17.44 |           1.93 |           1.01 |          80.00 |           1.10
NCCCCN               |          80.00 |          34.37 |           1.82 |           1.01 |          80.00 |           1.10
Pyrimidine           |          80.00 |          19.81 |           1.58 |           1.01 |          80.00 |           1.10
Cyclopropane         |          80.00 |          43.31 |           1.73 |           1.01 |          80.00 |           1.11
HCCCCH               |          80.00 |          25.10 |           1.87 |           1.01 |          80.00 |           1.11
Methyl_prop-2-enoate |          80.00 |          19.41 |           1.47 |           1.01 |          51.47 |           1.11
Chloroethene         |          80.00 |          20.59 |           1.88 |           1.01 |          80.00 |           1.11
2-Propenamide        |          80.00 |          23.42 |           1.29 |           1.01 |          37.83 |           1.12
Pyrazine             |          80.00 |          30.50 |           1.91 |           1.01 |          80.00 |           1.13
Cyclopropene         |          80.00 |          31.61 |           1.90 |           1.01 |          80.00 |           1.13
CH3NHCH3             |          80.00 |          38.33 |           1.55 |           1.01 |          80.00 |           1.13
CH3SH                |          80.00 |          16.05 |           1.83 |           1.01 |          25.04 |           1.13
PH3                  |          80.00 |          12.64 |           1.96 |           1.01 |          15.31 |           1.13
H2CS                 |          80.00 |          14.73 |           1.81 |           1.01 |          22.42 |           1.14
2-Propenoic_acid     |          80.00 |          80.00 |           1.76 |           1.01 |          80.00 |           1.14
Acrolein             |          80.00 |          20.51 |           1.30 |           1.01 |          38.22 |           1.14
CH3CH2CH3            |          80.00 |          46.31 |           1.99 |           1.01 |          80.00 |           1.14
CH3CCH               |          80.00 |          59.56 |           1.86 |           1.01 |          80.00 |           1.15
C3O2                 |          80.00 |          46.37 |           1.81 |           1.01 |          80.00 |           1.15
CFCl3                |          80.00 |          29.84 |           2.03 |           1.01 |          80.00 |           1.16
S2                   |          80.00 |          15.21 |           1.93 |           1.01 |          64.29 |           1.16
AlCl3                |          80.00 |          17.74 |           2.00 |           1.01 |          80.00 |           1.16
HCCCHO               |          80.00 |          24.79 |           1.27 |           1.01 |          33.06 |           1.16
Ethylenimine         |          80.00 |          80.00 |           1.63 |           1.01 |          80.00 |           1.16
CH2CF2               |          80.00 |          80.00 |           1.97 |           1.01 |          80.00 |           1.17
SiF2                 |          80.00 |          25.83 |           2.22 |           1.01 |          61.06 |           1.17
CH3COCH3             |          80.00 |          65.97 |           1.38 |           1.01 |          80.00 |           1.17
1-Chloropropane      |          80.00 |          80.00 |           1.85 |           1.01 |          80.00 |           1.17
CCl3H                |          80.00 |          80.00 |           2.10 |           1.01 |          80.00 |           1.17
Fluoroethene         |          80.00 |          60.78 |           1.93 |           1.01 |          80.00 |           1.17
HCCCN                |          80.00 |          80.00 |           1.90 |           1.01 |          80.00 |           1.17
SiH4                 |          80.00 |          22.26 |           2.06 |           1.01 |          80.00 |           1.17
BCl3                 |          80.00 |          27.29 |           2.06 |           1.01 |          80.00 |           1.17
CH3CONH2             |          80.00 |          28.69 |           1.34 |           1.01 |          42.10 |           1.18
CH3CClO              |          80.00 |          39.11 |           1.47 |           1.01 |          80.00 |           1.18
s-Tetrazine          |          80.00 |          80.00 |           1.92 |           1.01 |          80.00 |           1.18
CBrF3                |          80.00 |          80.00 |           2.04 |           1.01 |          80.00 |           1.19
CH2CO                |          80.00 |          41.66 |           1.90 |           1.01 |          80.00 |           1.19
NSF3                 |          80.00 |          80.00 |           1.72 |           1.01 |          80.00 |           1.19
CH2Cl2               |          80.00 |          80.00 |           2.07 |           1.01 |          80.00 |           1.19
CH3SiH3              |          80.00 |          41.58 |           1.76 |           1.01 |          80.00 |           1.19
