The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ME                   |        |           0.48           3.33           3.32 |           0.13           2.97           2.91 |           0.10           2.94           1.43 |           0.83           3.67           0.82 |           0.18           3.01           2.96 |           0.03           2.86           0.62
MAE                  |        |           0.52           3.33           3.32 |           0.29           2.97           2.91 |           0.32           2.94           1.43 |           1.10           3.67           1.09 |           0.32           3.01           2.96 |           0.27           2.86           0.63
MPE                  |        |           4.16          29.60          29.55 |           1.20          26.45          25.92 |           1.06          26.41          12.81 |           7.88          33.14           7.85 |           1.65          26.82          26.46 |           0.27          25.49           5.18
MAPE                 |        |           4.52          29.60          29.55 |           2.56          26.45          25.92 |           2.92          26.41          12.81 |          10.05          33.21           9.97 |           2.83          26.82          26.46 |           2.27          25.49           5.28
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2-Methylpropene      |   9.53 |           0.48           2.87           2.87 |           0.31           2.69           2.61 |           0.52           2.90           1.51 |           1.64           4.03           1.64 |           0.38           2.74           2.74 |           0.24           2.60           0.24
2-Vinylpyridine      |   8.97 |           0.64           2.72           2.72 |           0.42           2.47           2.28 |           0.56           2.59           1.39 |           0.85           3.66           0.85 |           0.43           2.46           2.42 |           0.20           2.23           0.20
Fulvene              |   8.63 |           0.46           2.73           2.73 |           0.31           2.56           2.34 |           0.52           2.75           1.36 |           1.63           3.84           1.63 |           0.34           2.56           2.48 |           0.17           2.39           0.17
H2                   |  16.40 |           0.11           4.50           3.54 |          -0.07           4.33           2.84 |           0.10           4.49           1.87 |           1.13           5.52           1.13 |           0.20           4.60           0.20 |           0.09           4.49           0.09
Isoprene             |   9.05 |           0.56           2.89           2.89 |           0.39           2.70           2.49 |           0.58           2.88           1.51 |           1.66           3.95           1.66 |           0.43           2.72           2.64 |           0.26           2.55           0.26
Pyridine             |   9.74 |           0.55           2.66           2.66 |           0.20           2.43           2.29 |           0.22           2.44           1.01 |           1.36           3.57           1.36 |           0.25           2.47           2.40 |           0.13           2.35           0.13
Pyrrole              |   8.39 |           0.26           2.64           2.64 |           0.12           2.49           2.31 |           0.37           2.72           1.36 |           1.51           3.83           1.51 |           0.18           2.52           2.45 |           0.05           2.39           0.05
Styrene              |   8.65 |           0.60           2.66           2.66 |           0.37           2.42           2.21 |           0.51           2.53           1.31 |           1.60           3.60           1.60 |           0.38           2.39           2.34 |           0.16           2.18           0.16
Si2H6                |  10.63 |           0.41           3.10           3.10 |           0.13           2.81           2.71 |           0.13           2.82           1.38 |           0.83           3.55           0.83 |           0.18           2.84           2.84 |           0.09           2.75           0.10
1_3-Butadiene        |   9.22 |           0.50           2.95           2.95 |           0.35           2.78           2.58 |           0.57           2.97           1.59 |           1.66           4.05           1.66 |           0.39           2.80           2.73 |           0.22           2.63           0.23
Vinyl_acetate        |   9.82 |           0.49           2.96           2.96 |           0.25           2.74           2.63 |           0.36           2.90           1.42 |           1.37           3.98           1.37 |           0.30           2.78           2.78 |           0.18           2.68           0.22
Furan                |   9.06 |           0.30           2.83           2.83 |           0.15           2.67           2.52 |           0.39           2.89           1.49 |           1.52           4.01           1.52 |           0.22           2.71           2.69 |           0.07           2.56           0.12
Methylacrylonitrile  |  10.59 |           0.64           3.23           3.23 |           0.39           3.00           2.86 |           0.51           3.14           1.61 |           1.57           4.24           1.57 |           0.43           3.02           3.02 |           0.24           2.86           0.30
Cyclobutene          |   9.72 |           0.45           2.80           2.80 |           0.30           2.64           2.64 |           0.53           2.88           1.58 |           1.66           4.03           1.66 |           0.36           2.68           2.68 |           0.23           2.55           0.30
