The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules when varying a global hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table.
----------------------------------------------------------------------------------------------------------
                     |                alpha                         |                opt            
Molecule             | 0.0            0.5            1.0            | D              alpha          
----------------------------------------------------------------------------------------------------------
MD                   |          -0.65          -0.22           0.23 |          -0.00                
MAD                  |           0.65           0.22           0.23 |           0.00                
----------------------------------------------------------------------------------------------------------
Butenone             |          -0.60          -0.09           0.40 |          -0.00           0.58 
HCCCHO               |          -0.64          -0.10           0.40 |          -0.00           0.59 
Acrolein             |          -0.63          -0.10           0.39 |          -0.00           0.59 
2-Propenamide        |          -0.59          -0.10           0.38 |          -0.00           0.60 
CH3CONH2             |          -0.65          -0.12           0.43 |          -0.00           0.60 
CH3COCH3             |          -0.63          -0.12           0.43 |          -0.00           0.61 
Ethylene_oxide       |          -0.70          -0.14           0.45 |          -0.00           0.62 
HCONH2               |          -0.70          -0.14           0.40 |          -0.00           0.63 
CH4N2O               |          -0.62          -0.14           0.41 |          -0.00           0.63 
CH3CClO              |          -0.61          -0.14           0.39 |          -0.00           0.63 
Methyl_prop-2-enoate |          -0.55          -0.13           0.35 |          -0.00           0.63 
NC3H9                |          -0.57          -0.13           0.34 |          -0.00           0.64 
CH3SOCH3             |          -0.58          -0.13           0.35 |          -0.00           0.64 
CH3OCH3              |          -0.65          -0.15           0.40 |          -0.00           0.64 
HCOOH                |          -0.73          -0.18           0.40 |          -0.00           0.65 
2-Propenoic_acid     |          -0.59          -0.15           0.20 |          -0.00           0.66 
CF2O                 |          -0.77          -0.20           0.42 |          -0.00           0.66 
CH3CH2OH             |          -0.65          -0.18           0.38 |          -0.00           0.67 
CH3NHCH3             |          -0.62          -0.16           0.32 |          -0.00           0.67 
F2O                  |          -0.84          -0.25           0.48 |          -0.00           0.68 
Pyridine             |          -0.56          -0.14           0.25 |          -0.00           0.68 
CH2O                 |          -0.76          -0.21           0.37 |          -0.00           0.68 
CH3OH                |          -0.74          -0.21           0.37 |          -0.00           0.68 
CH3NC                |          -0.66          -0.18           0.30 |          -0.00           0.68 
CS                   |          -0.65          -0.18           0.28 |          -0.00           0.69 
Ethylenimine         |          -0.64          -0.18           0.30 |          -0.00           0.69 
NSF                  |          -0.67          -0.20           0.29 |          -0.00           0.71 
CO2                  |          -0.77          -0.24           0.34 |          -0.00           0.71 
ClO                  |          -0.69          -0.29           0.20 |          -0.09           0.71 
Pyrimidine           |          -0.54          -0.15           0.19 |          -0.00           0.71 
H2O                  |          -0.94          -0.27           0.37 |          -0.00           0.71 
HF                   |          -1.13          -0.33           0.44 |          -0.00           0.71 
Fulvene              |          -0.50          -0.15           0.19 |          -0.00           0.72 
NSF3                 |          -0.66          -0.20           0.26 |          -0.00           0.72 
NNO                  |          -0.76          -0.24           0.31 |          -0.00           0.72 
CH3NO2               |          -0.68          -0.20           0.26 |          -0.00           0.72 
Cyclopropane         |          -0.61          -0.19           0.24 |          -0.00           0.72 
CH3F                 |          -0.77          -0.26           0.34 |          -0.00           0.73 
NF3                  |          -0.75          -0.25           0.31 |          -0.00           0.73 
Styrene              |          -0.43          -0.14           0.17 |          -0.00           0.73 
2-Methylpropene      |          -0.55          -0.18           0.20 |          -0.00           0.73 
CH3SiH3              |          -0.56          -0.19           0.22 |          -0.00           0.73 
NH2                  |          -0.87          -0.27           0.30 |          -0.00           0.74 
OH                   |          -0.97          -0.34           0.37 |          -0.00           0.74 
CH2CCH2              |          -0.58          -0.19           0.21 |          -0.00           0.74 
CH3CCCH3             |          -0.57          -0.19           0.21 |          -0.00           0.74 
Isoprene             |          -0.49          -0.16           0.18 |          -0.00           0.74 
2-Vinylpyridine      |          -0.44          -0.15           0.16 |          -0.00           0.74 
NH3                  |          -0.81          -0.26           0.27 |          -0.00           0.74 
Thiophene            |          -0.51          -0.17           0.18 |          -0.00           0.74 
C3O2                 |          -0.58          -0.20           0.22 |          -0.00           0.74 
1-Chloropropane      |          -0.56          -0.22           0.23 |          -0.00           0.74 
Methylacrylonitrile  |          -0.52          -0.18           0.19 |          -0.00           0.74 
N2H4                 |          -0.69          -0.23           0.25 |          -0.00           0.74 
Vinyl_acetate        |          -0.49          -0.18           0.20 |          -0.00           0.74 
Methoxyethene        |          -0.57          -0.19           0.20 |          -0.00           0.74 
CH3CCCN              |          -0.54          -0.19           0.20 |          -0.00           0.74 
NCCCCN               |          -0.51          -0.18           0.20 |          -0.00           0.74 
SiO                  |          -0.65          -0.22           0.24 |          -0.00           0.75 
Thiirane             |          -0.60          -0.20           0.21 |          -0.00           0.75 
HCCCCCN              |          -0.49          -0.17           0.19 |          -0.00           0.75 
Cyclobutene          |          -0.57          -0.19           0.19 |          -0.00           0.75 
Isobutane            |          -0.52          -0.19           0.20 |          -0.00           0.75 
H2O2                 |          -0.82          -0.27           0.28 |          -0.00           0.75 
CH3CH2Cl             |          -0.61          -0.22           0.23 |          -0.00           0.75 
O2                   |          -0.94          -0.32           0.31 |          -0.00           0.75 
1_1-Dicyanoethylene  |          -0.50          -0.18           0.18 |          -0.00           0.76 
2-Propen-1-ol        |          -0.55          -0.20           0.19 |          -0.00           0.76 
CH3CN                |          -0.67          -0.24           0.23 |          -0.00           0.76 
1_3-Butadiene        |          -0.51          -0.18           0.17 |          -0.00           0.76 
CF3CN                |          -0.64          -0.25           0.23 |          -0.00           0.76 
Pyrrole              |          -0.53          -0.18           0.17 |          -0.00           0.76 
OCHCHO               |          -0.61          -0.22           0.21 |          -0.00           0.76 
CClF3                |          -0.67          -0.25           0.23 |          -0.00           0.76 
Propene              |          -0.59          -0.21           0.19 |          -0.00           0.76 
H2CCCl2              |          -0.52          -0.19           0.18 |          -0.00           0.76 
Acrylonitrile        |          -0.57          -0.20           0.18 |          -0.00           0.76 
SO2                  |          -0.68          -0.24           0.22 |          -0.00           0.76 
CH3CCH               |          -0.63          -0.22           0.19 |          -0.00           0.77 
Cl2CCF2              |          -0.52          -0.19           0.18 |          -0.00           0.77 
BF3                  |          -0.74          -0.27           0.24 |          -0.00           0.77 
C2N2                 |          -0.63          -0.23           0.20 |          -0.00           0.77 
CS2                  |          -0.55          -0.20           0.17 |          -0.00           0.77 
Furan                |          -0.55          -0.19           0.16 |          -0.00           0.77 
s-Tetrazine          |          -0.56          -0.20           0.18 |          -0.00           0.77 
HCCCN                |          -0.59          -0.21           0.19 |          -0.00           0.77 
CH3Cl                |          -0.68          -0.25           0.21 |          -0.00           0.77 
HCCCCH               |          -0.56          -0.20           0.17 |          -0.00           0.78 
H2CS                 |          -0.63          -0.23           0.18 |          -0.00           0.78 
