The error in the VIE for each molecule in the McKenchie test set of 147 small molecules when varying a global hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table. The mean and standard deviation of the optimal mixing parameter are also reported.
--------------------------------------------------------------------------------------------------------------------------
                     |                |                alpha                         |                opt            
Molecule             | ref            | 0.0            0.5            1.0            | E              alpha          
--------------------------------------------------------------------------------------------------------------------------
Mean                 |                |                                              |                          0.76 
Standard Dev         |                |                                              |                          0.07 
ME                   |                |           0.47           0.11          -0.09 |          -0.04                
MAE                  |                |           0.56           0.33           0.56 |           0.45                
MAPE                 |                |           4.07           1.14          -0.47 |          -0.06                
MPE                  |                |           4.81           2.96           4.86 |           3.98                
--------------------------------------------------------------------------------------------------------------------------
Butenone             |           9.77 |           0.52           0.38           0.49 |           0.38           0.58 
HCCCHO               |          10.83 |           0.49           0.35           0.46 |           0.35           0.59 
Acrolein             |          10.18 |           0.48           0.37           0.50 |           0.38           0.59 
2-Propenamide        |           9.98 |           0.53           0.39           0.56 |           0.41           0.60 
CH3CONH2             |           9.95 |           0.35           0.35           0.50 |           0.37           0.60 
CH3COCH3             |           9.81 |           0.45           0.31           0.41 |           0.32           0.61 
Ethylene_oxide       |          10.74 |           0.38           0.33           0.47 |           0.36           0.62 
HCONH2               |          10.41 |           0.24           0.32           0.50 |           0.36           0.63 
CH4N2O               |          10.32 |           0.58           0.35           0.44 |           0.35           0.63 
CH3CClO              |          11.11 |           0.48           0.22           0.25 |           0.21           0.63 
Methyl_prop-2-enoate |          10.57 |           0.77           0.36           0.47 |           0.38           0.63 
NC3H9                |           8.59 |           0.36           0.30           0.34 |           0.30           0.64 
CH3SOCH3             |           9.11 |           0.44           0.38           0.47 |           0.39           0.64 
CH3OCH3              |          10.21 |           0.54           0.31           0.31 |           0.29           0.64 
HCOOH                |          11.55 |           0.31           0.27           0.40 |           0.30           0.65 
2-Propenoic_acid     |          10.87 |           0.72           0.36           0.41 |           0.38           0.66 
CF2O                 |          13.58 |           0.51           0.20           0.22 |           0.19           0.66 
CH3CH2OH             |          10.86 |           0.73           0.31           0.31 |           0.28           0.67 
CH3NHCH3             |           9.07 |           0.36           0.28           0.32 |           0.28           0.67 
F2O                  |          13.24 |           0.62          -0.44          -0.71 |          -0.63           0.68 
Pyridine             |           9.74 |           0.52           0.20           0.14 |           0.16           0.68 
CH2O                 |          10.93 |           0.25           0.25           0.42 |           0.29           0.68 
CH3OH                |          11.11 |           0.46           0.29           0.33 |           0.28           0.68 
CH3NC                |          11.27 |           0.09          -0.08          -0.19 |          -0.13           0.68 
CS                   |          11.32 |           0.02          -0.20          -0.27 |          -0.25           0.69 
Ethylenimine         |           9.94 |           0.33           0.25           0.27 |           0.25           0.69 
NSF                  |          11.78 |           0.32           0.24           0.27 |           0.24           0.71 
CO2                  |          13.81 |           0.25           0.13           0.18 |           0.13           0.71 
ClO                  |          10.95 |          -1.22          -2.11          -2.01 |          -2.51           0.71 
Pyrimidine           |           9.81 |           0.69          -0.09          -0.72 |          -0.38           0.71 
H2O                  |          12.69 |          -0.09           0.26           0.56 |           0.39           0.71 
HF                   |          16.17 |          -0.18           0.22           0.57 |           0.38           0.71 
Fulvene              |           8.63 |           0.44           0.50           0.61 |           0.54           0.72 
NSF3                 |          12.49 |           0.43           0.27           0.26 |           0.26           0.72 
NNO                  |          12.92 |           0.11           0.28           0.60 |           0.40           0.72 
CH3NO2               |          11.51 |           0.56          -0.25          -0.88 |          -0.55           0.72 
Cyclopropane         |          10.92 |           0.34           0.26           0.21 |           0.23           0.72 
CH3F                 |          13.44 |           0.82           0.24          -0.06 |           0.04           0.73 
NF3                  |          13.60 |           0.69          -0.14          -0.69 |          -0.43           0.73 
Styrene              |           8.65 |           0.57           0.49           0.54 |           0.49           0.73 
2-Methylpropene      |           9.53 |           0.45           0.50           0.64 |           0.56           0.73 
CH3SiH3              |          11.73 |           0.57           0.19           0.02 |           0.10           0.73 
NH2                  |          12.03 |          -0.69          -0.57          -0.47 |          -0.52           0.74 
OH                   |          12.98 |          -3.28          -3.10          -2.96 |          -3.03           0.74 
CH2CCH2              |          10.26 |           0.39           0.39           0.54 |           0.46           0.74 
CH3CCCH3             |           9.79 |           0.57           0.46           0.49 |           0.46           0.74 
Isoprene             |           9.05 |           0.54           0.56           0.65 |           0.60           0.74 
2-Vinylpyridine      |           8.97 |           0.62           0.53           0.59 |           0.54           0.74 
NH3                  |          10.96 |          -0.02           0.21           0.42 |           0.31           0.74 
Thiophene            |           9.09 |           0.33           0.37           0.46 |           0.40           0.74 
C3O2                 |          10.73 |           0.16           0.07           0.08 |           0.06           0.74 
1-Chloropropane      |          10.96 |           0.68           0.06          -0.05 |          -0.01           0.74 
Methylacrylonitrile  |          10.59 |           0.61           0.48           0.50 |           0.48           0.74 
N2H4                 |          10.28 |           0.48           0.12          -0.19 |          -0.04           0.74 
Vinyl_acetate        |           9.82 |           0.46           0.34           0.33 |           0.32           0.74 
Methoxyethene        |           9.25 |           0.42           0.32           0.28 |           0.29           0.74 
CH3CCCN              |          11.00 |           0.71           0.45           0.37 |           0.39           0.74 
