The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules when varying a range-separated hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table.
--------------------------------------------------------------------------------------------------------
                     |                omega                         |                opt            
Molecule             | 0.0            0.3            1.0            | D              omega          
--------------------------------------------------------------------------------------------------------
MD                   |          -0.64          -0.09           0.20 |           0.00                
MAD                  |           0.65           0.11           0.20 |           0.01                
--------------------------------------------------------------------------------------------------------
H2                   |           0.56           0.89           1.09 |           0.56           0.00 
Styrene              |          -0.43           0.03           0.17 |           0.00           0.26 
2-Vinylpyridine      |          -0.43           0.02           0.21 |           0.00           0.27 
Fulvene              |          -0.49           0.03           0.20 |           0.00           0.27 
Isoprene             |          -0.49           0.01           0.19 |          -0.00           0.29 
Pyridine             |          -0.56          -0.00           0.26 |           0.00           0.30 
Pyrrole              |          -0.53          -0.00           0.17 |           0.00           0.30 
2-Methylpropene      |          -0.54          -0.00           0.21 |           0.00           0.30 
Si2H6                |          -0.51          -0.00           0.15 |           0.00           0.31 
1_3-Butadiene        |          -0.51          -0.01           0.17 |           0.00           0.31 
Vinyl_acetate        |          -0.50          -0.01           0.20 |           0.00           0.31 
Furan                |          -0.54          -0.01           0.16 |           0.00           0.32 
NC3H9                |          -0.56          -0.02           0.31 |           0.00           0.32 
Cyclobutene          |          -0.56          -0.02           0.20 |           0.00           0.32 
Methylacrylonitrile  |          -0.52          -0.01           0.19 |           0.00           0.32 
CS                   |          -0.63          -0.03           0.34 |           0.00           0.32 
CH3NC                |          -0.65          -0.03           0.34 |           0.00           0.32 
CH2CCH2              |          -0.58          -0.03           0.22 |           0.00           0.33 
HCCCCCN              |          -0.49          -0.02           0.18 |           0.00           0.33 
Butenone             |          -0.60          -0.03           0.35 |           0.00           0.33 
Propene              |          -0.58          -0.03           0.20 |           0.00           0.33 
Methoxyethene        |          -0.57          -0.03           0.19 |           0.00           0.33 
CH3CCCH3             |          -0.57          -0.03           0.21 |           0.00           0.33 
Cl2CCF2              |          -0.52          -0.02           0.16 |           0.00           0.33 
1_1-Dicyanoethylene  |          -0.50          -0.02           0.17 |           0.00           0.33 
Methyl_prop-2-enoate |          -0.54          -0.04           0.30 |           0.00           0.33 
Thiophene            |          -0.51          -0.03           0.15 |           0.00           0.33 
Thiirane             |          -0.60          -0.03           0.21 |           0.00           0.34 
CH3SOCH3             |          -0.58          -0.03           0.29 |          -0.00           0.34 
Isobutane            |          -0.52          -0.03           0.18 |           0.00           0.34 
2-Propenamide        |          -0.59          -0.05           0.34 |           0.00           0.34 
2-Propen-1-ol        |          -0.55          -0.03           0.20 |           0.00           0.34 
Cyclopropane         |          -0.61          -0.04           0.22 |           0.00           0.34 
CH3CCCN              |          -0.54          -0.04           0.19 |           0.00           0.34 
