The error in the VIE for each molecule in the McKenchie test set of 147 small molecules when varying a range-separated hybrid mixing parameter. The right most column shows the optimal mixing parameter for each molecule and determines the order of each molecule in the table. The mean and standard deviation of the optimal mixing parameter are also reported.
------------------------------------------------------------------------------------------------------------------------
                     |                |                omega                         |                opt            
Molecule             | ref            | 0.0            0.3            1.0            | E              omega          
------------------------------------------------------------------------------------------------------------------------
Mean                 |                |                                              |                          0.42 
Standard Dev         |                |                                              |                          0.13 
ME                   |                |           0.23           0.00          -0.38 |          -0.19                
MAE                  |                |           0.52           0.26           0.51 |           0.30                
MPE                  |                |           1.83           0.03          -3.07 |          -1.57                
MAPE                 |                |           4.58           2.19           4.40 |           2.62                
------------------------------------------------------------------------------------------------------------------------
H2                   |          16.40 |           0.18           0.05           0.03 |           0.18           0.00 
Styrene              |           8.65 |           0.39           0.14           0.28 |           0.17           0.26 
2-Vinylpyridine      |           8.97 |           0.44           0.18          -0.60 |           0.20           0.27 
Fulvene              |           8.63 |           0.27           0.14           0.35 |           0.16           0.27 
Isoprene             |           9.05 |           0.39           0.24           0.42 |           0.24           0.29 
Pyridine             |           9.74 |           0.41           0.11          -0.03 |           0.11           0.30 
Pyrrole              |           8.39 |           0.08           0.03           0.26 |           0.03           0.30 
2-Methylpropene      |           9.53 |           0.34           0.22           0.44 |           0.22           0.30 
Si2H6                |          10.63 |           0.28           0.06          -0.21 |           0.06           0.31 
1_3-Butadiene        |           9.22 |           0.32           0.20           0.41 |           0.19           0.31 
Vinyl_acetate        |           9.82 |          -7.91           0.15           0.14 |           0.15           0.31 
Furan                |           9.06 |           0.13           0.04           0.25 |           0.04           0.32 
NC3H9                |           8.59 |           0.28           0.13           0.13 |           0.12           0.32 
Cyclobutene          |           9.72 |           0.30           0.21           0.43 |           0.21           0.32 
Methylacrylonitrile  |          10.59 |           0.48           0.22           0.25 |           0.20           0.32 
CS                   |          11.32 |          -0.04          -0.22          -0.20 |          -0.24           0.32 
CH3NC                |          11.27 |           0.11          -0.08          -0.13 |          -0.10           0.32 
CH2CCH2              |          10.26 |           0.25           0.10           0.34 |           0.10           0.33 
HCCCCCN              |          10.73 |           0.53           0.20           0.02 |           0.16           0.33 
Butenone             |           9.77 |           0.42           0.15           0.11 |           0.12           0.33 
Propene              |          10.01 |           0.27           0.18           0.46 |           0.18           0.33 
Methoxyethene        |           9.25 |           0.30           0.16           0.11 |           0.15           0.33 
CH3CCCH3             |           9.79 |           0.45           0.24           0.27 |           0.22           0.33 
Cl2CCF2              |           9.91 |           0.56           0.16          -0.46 |           0.09           0.33 
1_1-Dicyanoethylene  |          11.54 |           0.60           0.20           0.06 |           0.15           0.33 
Methyl_prop-2-enoate |          10.57 |           0.46           0.12           0.09 |           0.07           0.33 
Thiophene            |           9.09 |           0.16          -0.32          -0.21 |          -0.33           0.33 
Thiirane             |           9.06 |           0.11           0.01           0.02 |          -0.00           0.34 
CH3SOCH3             |           9.11 |           0.34           0.19           0.12 |           0.16           0.34 
Isobutane            |          11.73 |           0.96           0.41          -0.35 |           0.31           0.34 
2-Propenamide        |           9.98 |           0.41           0.10           0.17 |           0.07           0.34 
2-Propen-1-ol        |          10.42 |           0.80           0.32           0.38 |           0.25           0.34 
Cyclopropane         |          10.92 |           0.20           0.05           0.02 |           0.03           0.34 
CH3CCCN              |          11.00 |           0.55           0.24           0.11 |           0.18           0.34 
Acrolein             |          10.18 |           0.39           0.15           0.12 |           0.10           0.35 
Pyrimidine           |           9.81 |           0.59          -0.01          -0.82 |          -0.16           0.35 
Acrylonitrile        |          11.12 |           0.40           0.19           0.28 |           0.16           0.35 
CH3NHCH3             |           9.07 |           0.29           0.11           0.10 |           0.07           0.35 
CS2                  |          10.05 |          -0.04          -0.10          -0.03 |          -0.11           0.35 
HCCCHO               |          10.83 |           0.37           0.09           0.08 |           0.05           0.35 
NCCCCN               |          12.04 |           0.61           0.21          -0.03 |           0.13           0.35 
HCCCCH               |          10.29 |           0.38           0.18           0.15 |           0.13           0.35 
2-Propenoic_acid     |          10.87 |           0.43           0.11           0.07 |           0.05           0.35 
Chloroethene         |          10.21 |           0.33           0.11           0.03 |           0.06           0.36 
CH3COCH3             |           9.81 |           0.37           0.13           0.05 |           0.07           0.36 
CH3CONH2             |           9.95 |           0.27           0.08           0.14 |           0.04           0.36 
Ethylenimine         |           9.94 |           0.22           0.08           0.04 |           0.03           0.36 
SiH3                 |           8.80 |          -0.10          -0.22          -0.29 |          -0.24           0.36 
CH3CCH               |          10.55 |           0.31           0.17           0.32 |           0.16           0.36 
CH3SH                |           9.46 |           0.13           0.01          -0.01 |          -0.02           0.36 
Cyclopropene         |          10.01 |           0.30           0.18           0.31 |           0.16           0.36 
H2CS                 |           9.35 |           0.07          -0.01           0.05 |          -0.02           0.37 
CH3CClO              |          11.11 |          -0.50           0.03          -1.02 |          -0.06           0.37 
C3O2                 |          10.73 |           0.02           0.00          -0.15 |          -0.02           0.37 
NSF3                 |          12.49 |           0.31           0.14           0.03 |           0.10           0.37 
PH3                  |          10.53 |           0.09           0.06           0.09 |           0.06           0.37 
Pyrazine             |           9.70 |           0.66          -0.03          -1.22 |          -0.28           0.37 
1-Chloropropane      |          10.96 |          -3.15          -0.02          -0.24 |          -0.12           0.37 
CH2CF2               |          10.63 |           0.33           0.20           0.06 |           0.16           0.38 
Fluoroethene         |          10.61 |           0.23           0.16           0.24 |           0.15           0.38 
CCl4                 |          11.77 |          -4.04           0.24          -0.63 |          -0.10           0.38 
CBrF3                |          11.93 |           0.26           0.00          -0.35 |          -0.08           0.38 
HCCCN                |          11.81 |           0.42           0.18           0.16 |           0.12           0.38 
CH3OCH3              |          10.21 |           0.47           0.21          -0.02 |           0.10           0.38 
CH3CH2CH3            |          12.16 |           1.08           0.53          -0.39 |           0.28           0.38 
CH3CH2Cl             |          11.12 |           0.44           0.05          -0.16 |          -0.05           0.38 
HCONH2               |          10.41 |           0.17           0.06           0.14 |           0.03           0.39 
CH2CO                |           9.72 |           0.02          -0.04          -0.06 |          -0.06           0.39 
Z-CHF-CHF            |          10.54 |           0.38           0.23          -0.02 |           0.16           0.39 
Ethylene_oxide       |          10.74 |           0.29           0.10           0.09 |           0.02           0.39 
CHFCF2               |          10.53 |           0.48           0.27          -0.19 |           0.15           0.39 
S2                   |           9.38 |          -0.14          -0.48          -1.14 |          -0.66           0.40 
CF3CN                |          14.24 |           0.74          -1.42          -0.28 |          -0.23           0.40 
NSF                  |          11.78 |           0.21           0.06           0.03 |           0.01           0.40 
OCS                  |          11.21 |          -0.03          -0.09          -0.21 |          -0.11           0.40 
C2F4                 |          10.54 |           0.58           0.31          -0.37 |           0.15           0.40 
CH3CN                |          12.54 |           0.40           0.16           0.29 |           0.11           0.40 
s-Tetrazine          |           9.70 |           0.64          -0.06          -1.44 |          -0.44           0.40 
NaCl                 |           9.05 |          -0.23          -0.19          -0.06 |          -0.16           0.40 
C2H2                 |          11.46 |           0.04           0.05           0.40 |           0.11           0.40 
CClF3                |          13.01 |           0.46           0.05          -0.34 |          -0.09           0.41 
